Designator,Mid X,Mid Y,Rotation,Layer
C10,28.149995,-67.125,90.0,top
C100,117.2353,-2.5,0.0,top
C101,123.2353,-2.5,0.0,top
C102,129.2353,-2.5,0.0,top
C103,135.2353,-2.5,0.0,top
C104,141.2353,-2.5,0.0,top
C105,147.2353,-2.5,0.0,top
C106,153.2353,-2.5,0.0,top
C107,159.2353,-2.5,0.0,top
C108,165.2353,-2.5,0.0,top
C109,171.2353,-2.5,0.0,top
C11,19.6,-79.0,270.0,top
C110,177.2353,-2.5,0.0,top
C111,183.2353,-2.5,0.0,top
C112,189.2353,-2.5,0.0,top
C113,195.2353,-2.5,0.0,top
C114,201.2353,-2.5,0.0,top
C115,207.2353,-2.5,0.0,top
C116,213.2353,-2.5,0.0,top
C117,219.2353,-2.5,0.0,top
C118,225.2353,-2.5,0.0,top
C119,231.2353,-2.5,0.0,top
C12,11.8,-68.4,90.0,top
C120,243.2353,-2.5,0.0,top
C122,249.2353,-8.5,0.0,top
C123,243.2353,-8.5,0.0,top
C124,237.2353,-8.5,0.0,top
C125,231.2353,-8.5,0.0,top
C126,225.2353,-8.5,0.0,top
C127,219.2353,-8.5,0.0,top
C128,207.2353,-8.5,0.0,top
C129,201.2353,-8.5,0.0,top
C13,26.649995,-67.125,90.0,top
C130,189.2353,-8.5,0.0,top
C131,183.2353,-8.5,0.0,top
C132,171.2353,-8.5,0.0,top
C133,165.2353,-8.5,0.0,top
C134,159.2353,-8.5,0.0,top
C135,153.2353,-8.5,0.0,top
C136,147.2353,-8.5,0.0,top
C137,141.2353,-8.5,0.0,top
C138,135.2353,-8.5,0.0,top
C139,129.2353,-8.5,0.0,top
C14,16.2,-64.0,90.0,top
C140,123.2353,-8.5,0.0,top
C141,117.2353,-8.5,0.0,top
C142,111.2353,-8.5,0.0,top
C143,105.2353,-8.5,0.0,top
C144,99.2353,-8.5,0.0,top
C145,93.2353,-8.5,0.0,top
C146,87.2353,-8.5,0.0,top
C147,75.2353,-8.5,0.0,top
C148,69.2353,-8.5,0.0,top
C149,57.2353,-8.5,0.0,top
C15,22.5,-80.1,0.0,top
C150,51.2353,-8.5,0.0,top
C151,39.2353,-8.5,0.0,top
C152,33.2353,-8.5,0.0,top
C153,27.2353,-8.5,0.0,top
C154,21.2353,-8.5,0.0,top
C155,15.2353,-8.5,0.0,top
C156,9.2353,-8.5,0.0,top
C158,9.2353,-14.5,0.0,top
C159,15.2353,-14.5,0.0,top
C16,17.800002,-63.975,90.0,top
C160,33.2353,-14.5,0.0,top
C161,39.2353,-14.5,0.0,top
C162,51.2353,-14.5,0.0,top
C163,57.2353,-14.5,0.0,top
C164,69.2353,-14.5,0.0,top
C165,75.2353,-14.5,0.0,top
C166,81.2353,-14.5,0.0,top
C167,87.2353,-14.5,0.0,top
C168,93.2353,-14.5,0.0,top
C169,105.2353,-14.5,0.0,top
C17,20.8,-63.9,90.0,top
C170,111.2353,-14.5,0.0,top
C171,117.2353,-14.5,0.0,top
C172,123.2353,-14.5,0.0,top
C173,129.2353,-14.5,0.0,top
C174,135.2353,-14.5,0.0,top
C175,141.2353,-14.5,0.0,top
C176,147.2353,-14.5,0.0,top
C177,153.2353,-14.5,0.0,top
C178,165.2353,-14.5,0.0,top
C179,171.2353,-14.5,0.0,top
C18,24.4,-66.0,90.0,top
C180,177.2353,-14.5,0.0,top
C181,183.2353,-14.5,0.0,top
C182,189.2353,-14.5,0.0,top
C183,201.2353,-14.5,0.0,top
C184,207.2353,-14.5,0.0,top
C185,219.2353,-14.5,0.0,top
C186,225.2353,-14.5,0.0,top
C187,231.2353,-14.5,0.0,top
C188,243.2353,-14.5,0.0,top
C189,249.2353,-14.5,0.0,top
C19,26.269855,-76.900001,0.0,top
C191,249.2353,-20.5,0.0,top
C192,243.2353,-20.5,0.0,top
C193,237.2353,-20.5,0.0,top
C194,231.2353,-20.5,0.0,top
C195,225.2353,-20.5,0.0,top
C196,219.2353,-20.5,0.0,top
C197,213.2353,-20.5,0.0,top
C198,207.2353,-20.5,0.0,top
C199,201.2353,-20.5,0.0,top
C20,22.5,-78.099999,0.0,top
C200,195.2353,-20.5,0.0,top
C201,189.2353,-20.5,0.0,top
C202,183.2353,-20.5,0.0,top
C203,177.2353,-20.5,0.0,top
C204,171.2353,-20.5,0.0,top
C205,165.2353,-20.5,0.0,top
C206,153.2353,-20.5,0.0,top
C207,147.2353,-20.5,0.0,top
C208,135.2353,-20.5,0.0,top
C209,129.2353,-20.5,0.0,top
C21,17.3,-78.289136,0.0,top
C210,123.2353,-20.5,0.0,top
C211,32.950001,-65.100003,90.0,top
C212,111.2353,-20.5,0.0,top
C213,105.2353,-20.5,0.0,top
C214,93.2353,-20.5,0.0,top
C215,87.2353,-20.5,0.0,top
C216,81.2353,-20.5,0.0,top
C217,75.2353,-20.5,0.0,top
C218,69.2353,-20.5,0.0,top
C219,63.2353,-20.5,0.0,top
C22,13.075003,-75.900005,180.0,top
C220,57.2353,-20.5,0.0,top
C221,51.2353,-20.5,0.0,top
C222,45.2353,-20.5,0.0,top
